 radius= 4.1038E+01 lambda= 5.3200E-01 x= 6.4608E+02

Qext= 2.0318E+00 Qsca= 2.0318E+00 Qabs= 0.0000E+00 <cos>= 9.3917E-01
                 Qbk = 1.2702E+00
  theta       S11           POL           S33           S34
   0.00   4.49565E+10  -0.00000E+00   4.49565E+10   0.00000E+00
   0.71   1.90887E+08  -6.03123E-04   1.90885E+08  -8.19591E+05
   1.42   1.77282E+07   1.83486E-02   1.77126E+07   6.66968E+05
   2.13   8.79659E+05   2.99812E-02   8.79253E+05   4.46300E+03
   2.83   6.58000E+06   4.33769E-02   6.57373E+06  -3.19777E+04
   3.54   6.26699E+05  -8.49639E-02   6.24102E+05  -2.03306E+04
   4.25   6.03136E+06   2.02430E-02   6.03009E+06  -2.21406E+04
   4.96   2.02222E+06   1.92202E-02   2.01843E+06  -1.17565E+05
   5.67   2.91323E+06  -7.90856E-03   2.91304E+06   2.41170E+04
   6.38   5.56192E+06   2.70765E-02   5.55938E+06   7.48835E+04
   7.09   3.82163E+06   1.74489E-02   3.82102E+06  -1.53666E+04
   7.80   2.19802E+06  -3.86272E-02   2.19638E+06  -2.67562E+02
   8.50   2.46934E+06  -4.19356E-02   2.46710E+06   1.82449E+04
   9.21   3.39885E+06   2.59661E-03   3.39882E+06   1.13195E+04
   9.92   3.92930E+06   3.37000E-03   3.92781E+06   1.07570E+05
  10.63   3.45639E+06  -1.67314E-02   3.45591E+06   4.94958E+03
  11.34   3.47762E+06   1.91599E-02   3.47695E+06   1.53943E+04
  12.05   3.05501E+06  -1.92593E-02   3.05411E+06   4.46918E+04
  12.76   2.96797E+06   1.50648E-02   2.96750E+06  -2.73658E+04
  13.46   2.60515E+06  -1.79483E-02   2.60426E+06   4.93385E+04
  14.17   2.33074E+06   1.49581E-02   2.33040E+06  -1.86588E+04
  14.88   1.69438E+06  -3.30989E-02   1.69288E+06   4.39714E+04
  15.59   1.25486E+06   1.19487E-02   1.25425E+06   3.63622E+04
  16.30   1.01299E+06  -6.52790E-02   1.01051E+06  -2.54833E+04
  17.01   1.22353E+06  -5.29982E-02   1.22180E+06   3.82906E+03
  17.72   1.67542E+06   1.59043E-02   1.67433E+06  -5.43427E+04
  18.43   1.50241E+06  -1.20516E-02   1.50227E+06  -9.90838E+03
  19.13   8.51151E+05  -3.58508E-02   8.47508E+05   7.25029E+04
  19.84   7.16744E+05  -6.05643E-02   7.15316E+05  -1.27038E+04
  20.55   1.17854E+06  -6.32675E-03   1.17536E+06  -8.61825E+04
  21.26   1.08413E+06   7.25467E-04   1.08360E+06   3.39721E+04
  21.97   5.38520E+05  -8.69714E-02   5.34147E+05   4.99705E+04
  22.68   6.49462E+05  -4.05459E-02   6.46853E+05  -5.18440E+04
  23.39   9.69194E+05   2.35743E-02   9.68876E+05  -9.71966E+03
  24.09   5.46869E+05  -9.51423E-02   5.42661E+05   4.33305E+04
  24.80   4.69182E+05  -6.86638E-02   4.66680E+05  -3.61017E+04
  25.51   7.06648E+05   2.53021E-02   7.06267E+05   1.48068E+04
  26.22   3.75761E+05  -1.12633E-01   3.72832E+05   2.00316E+04
  26.93   4.24961E+05  -4.23914E-02   4.22906E+05  -3.76526E+04
  27.64   6.14012E+05  -2.97389E-02   6.13054E+05   2.90083E+04
  28.35   2.50750E+05  -1.58840E-01   2.47497E+05   5.85091E+03
  29.06   4.56906E+05  -8.72355E-03   4.56805E+05  -8.76975E+03
  29.76   3.51431E+05  -2.72561E-02   3.50620E+05   2.18531E+04
  30.47   2.02295E+05  -1.00473E-01   2.00513E+05  -1.74606E+04
  31.18   4.08351E+05   4.13542E-03   4.08111E+05  -1.38909E+04
  31.89   1.70553E+05  -1.63408E-01   1.67839E+05   1.19019E+04
  32.60   2.95959E+05  -6.23664E-02   2.93300E+05  -3.50210E+04
  33.31   2.54597E+05  -3.52954E-02   2.52886E+05   2.80665E+04
  34.02   1.55538E+05  -2.26634E-01   1.50411E+05  -1.80536E+04
  34.72   2.73844E+05   3.69164E-02   2.73424E+05   1.13004E+04
  35.43   1.10506E+05  -2.80374E-01   1.05526E+05   1.07713E+04
  36.14   2.00815E+05   5.27940E-02   2.00088E+05  -1.33913E+04
  36.85   1.47070E+05  -1.02217E-01   1.44596E+05   2.22665E+04
  37.56   1.05427E+05  -2.64471E-02   1.03442E+05  -2.01718E+04
  38.27   1.86902E+05  -1.42767E-02   1.86568E+05   1.08461E+04
  38.98   5.05062E+04  -2.92157E-01   4.75486E+04  -8.50162E+03
  39.69   1.77782E+05  -8.80882E-03   1.77441E+05  -1.08866E+04
  40.39   4.88910E+04  -3.17047E-01   4.57337E+04   7.64767E+03
  41.10   1.26412E+05  -5.24055E-02   1.24008E+05  -2.36280E+04
  41.81   7.33950E+04  -1.13769E-01   7.09650E+04   1.67652E+04
  42.52   6.71486E+04  -2.08418E-01   6.32598E+04  -1.76429E+04
  43.23   8.83208E+04  -4.19091E-02   8.72721E+04   1.30559E+04
