 radius= 1.0000E+01 lambda= 5.3200E-01 x= 1.5708E+02

Qext= 1.9396E+00 Qsca= 1.9396E+00 Qabs= 0.0000E+00 <cos>= 9.5606E-01
                 Qbk = 4.1028E-02
  theta       S11           POL           S33           S34
   0.00   1.43244E+08  -0.00000E+00   1.43244E+08   0.00000E+00
   0.50   8.23251E+07  -2.63152E-04   8.23250E+07   8.29877E+04
   1.01   8.60701E+06  -1.37539E-03   8.60675E+06   6.66912E+04
   1.51   2.80004E+06   6.04465E-03   2.79988E+06  -2.45256E+04
   2.01   4.92690E+06  -4.11821E-04   4.92689E+06   9.52844E+03
   2.51   4.87417E+05  -2.13728E-02   4.87277E+05   5.23698E+03
   3.02   8.11360E+05  -1.29859E-03   8.11343E+05  -5.12788E+03
   3.52   7.80918E+05   1.12773E-02   7.80850E+05   5.32528E+03
   4.02   4.97439E+05   1.28171E-02   4.97391E+05   2.68398E+03
   4.53   1.95866E+05  -1.44859E-02   1.95832E+05  -2.25010E+03
   5.03   8.94297E+05   4.68800E-03   8.94217E+05  -1.11996E+04
   5.53   8.34367E+05  -3.37344E-04   8.34362E+05   2.83859E+03
   6.03   2.99498E+05  -2.73223E-02   2.99384E+05  -1.12540E+03
   6.54   5.76848E+05  -1.89651E-03   5.76830E+05  -4.39978E+03
   7.04   3.95401E+05   2.90950E-03   3.95339E+05   6.91458E+03
   7.54   1.35564E+05  -2.78429E-02   1.35504E+05   1.39375E+03
   8.04   3.36881E+05   1.01270E-02   3.36859E+05  -1.75427E+03
   8.55   2.79078E+05   1.35176E-02   2.79027E+05   3.77794E+03
   9.05   1.56779E+05  -1.63312E-02   1.56746E+05  -1.89042E+03
   9.55   3.55867E+05   1.31055E-02   3.55804E+05  -4.79573E+03
  10.06   2.15204E+05  -6.41069E-03   2.15189E+05   2.16912E+03
  10.56   2.09319E+05  -1.40033E-02   2.09196E+05  -6.55236E+03
  11.06   2.92353E+05   4.85169E-03   2.92346E+05  -1.34970E+03
  11.56   1.27644E+05  -4.47768E-02   1.27515E+05   2.69867E+02
  12.07   2.15833E+05  -6.35239E-03   2.15760E+05  -5.44230E+03
  12.57   1.55800E+05  -1.33271E-02   1.55744E+05   3.61309E+03
  13.07   1.02160E+05  -4.79717E-02   1.02005E+05  -2.76583E+03
  13.58   1.63484E+05   3.09176E-03   1.63482E+05   6.58508E+02
  14.08   6.71170E+04  -5.72538E-02   6.69566E+04   2.59773E+03
  14.58   1.10103E+05  -7.76899E-03   1.10077E+05  -2.26310E+03
  15.08   8.84465E+04   9.01984E-04   8.83540E+04   4.04412E+03
  15.59   5.42738E+04  -5.19316E-02   5.41896E+04  -1.09188E+03
  16.09   9.74247E+04   2.26647E-02   9.73930E+04   1.13415E+03
  16.59   4.00983E+04  -5.31713E-02   3.99963E+04   1.90495E+03
  17.09   7.29632E+04   1.38647E-02   7.29331E+04  -1.83639E+03
  17.60   5.55877E+04   8.56228E-03   5.55169E+04   2.76254E+03
  18.10   4.12276E+04  -2.98198E-02   4.11653E+04  -1.90329E+03
  18.60   6.67313E+04   3.40744E-02   6.66883E+04   7.55453E+02
  19.11   2.77483E+04  -7.22647E-02   2.76756E+04   6.93359E+01
  19.61   5.74674E+04   3.19518E-02   5.74080E+04  -1.85835E+03
  20.11   3.38150E+04  -2.67169E-02   3.37690E+04   1.51343E+03
  20.61   3.71550E+04  -1.94792E-03   3.70511E+04  -2.77655E+03
  21.12   4.36018E+04   1.69296E-02   4.35840E+04   1.00633E+03
  21.62   2.18609E+04  -7.88242E-02   2.17327E+04  -1.61866E+03
  22.12   4.36460E+04   3.16592E-02   4.36161E+04  -8.36932E+02
  22.63   1.93185E+04  -1.02470E-01   1.92158E+04   1.97100E+02
  23.13   3.31482E+04   1.87141E-02   3.30610E+04  -2.32115E+03
  23.63   2.46614E+04  -4.26084E-02   2.46162E+04   1.05812E+03
  24.13   2.00649E+04  -3.84232E-02   1.99136E+04  -2.33513E+03
  24.64   2.88648E+04   1.43043E-03   2.88608E+04   4.76375E+02
  25.14   1.25976E+04  -1.39294E-01   1.24252E+04  -1.11096E+03
  25.64   2.64448E+04   1.71432E-02   2.64289E+04  -7.98398E+02
  26.15   1.24693E+04  -1.44969E-01   1.23344E+04   2.80281E+02
  26.65   1.88203E+04   1.37257E-03   1.87451E+04  -1.67965E+03
  27.15   1.60604E+04  -7.06635E-02   1.59958E+04   8.84614E+02
  27.65   1.09404E+04  -7.33078E-02   1.08000E+04  -1.55199E+03
  28.16   1.79426E+04  -1.96004E-02   1.79329E+04   4.72392E+02
  28.66   7.05844E+03  -1.95707E-01   6.89242E+03  -6.38654E+02
  29.16   1.58104E+04   2.32336E-04   1.58050E+04  -4.14627E+02
  29.66   7.63859E+03  -1.80760E-01   7.50532E+03   3.34357E+02
  30.17   1.06672E+04  -1.72629E-02   1.06190E+04  -9.96782E+02
  30.67   1.00562E+04  -9.26151E-02   9.98825E+03   7.03033E+02
  31.17   5.91024E+03  -1.04311E-01   5.81087E+03  -8.85768E+02
  31.68   1.11578E+04  -3.83095E-02   1.11425E+04   3.96994E+02
  32.18   3.78828E+03  -2.39761E-01   3.66759E+03  -2.73595E+02
  32.68   9.55260E+03  -1.94190E-02   9.54869E+03  -2.00711E+02
  33.18   4.53740E+03  -1.93354E-01   4.43981E+03   3.26185E+02
  33.69   6.17533E+03  -4.07803E-02   6.14390E+03  -5.68976E+02
  34.19   6.25987E+03  -9.51767E-02   6.21074E+03   5.07657E+02
  34.69   3.14640E+03  -1.43058E-01   3.07806E+03  -4.71984E+02
  35.20   7.05220E+03  -4.20949E-02   7.04205E+03   2.34370E+02
  35.70   1.95066E+03  -2.85132E-01   1.86917E+03  -4.36066E+01
  36.20   5.91462E+03  -3.03994E-02   5.90856E+03  -1.98288E+02
  36.70   2.63166E+03  -1.74225E-01   2.57107E+03   3.24055E+02
  37.21   3.67180E+03  -6.81771E-02   3.63954E+03  -4.16171E+02
  37.71   3.92732E+03  -6.09354E-02   3.90354E+03   3.59194E+02
  38.21   1.66781E+03  -2.14328E-01   1.60600E+03  -2.73104E+02
  38.72   4.47312E+03  -1.67114E-02   4.47194E+03   7.05004E+01
  39.22   9.95622E+02  -3.52176E-01   9.28882E+02   7.41406E+01
  39.72   3.68389E+03  -1.90475E-02   3.67391E+03  -2.61735E+02
  40.22   1.55115E+03  -1.26296E-01   1.50610E+03   3.15242E+02
  40.73   2.17357E+03  -8.32016E-02   2.13305E+03  -3.76586E+02
  41.23   2.49107E+03   2.22347E-03   2.47582E+03   2.75231E+02
  41.73   8.76147E+02  -3.13771E-01   8.08069E+02  -1.97695E+02
  42.23   2.81262E+03   4.02123E-02   2.81034E+03  -1.43021E+00
  42.74   5.36635E+02  -4.49923E-01   4.66694E+02   1.08988E+02
  43.24   2.24121E+03   3.04357E-02   2.22339E+03  -2.73630E+02
  43.74   1.00553E+03  -7.29423E-02   9.57754E+02   2.97367E+02
  44.25   1.20428E+03  -6.11319E-02   1.15458E+03  -3.34402E+02
  44.75   1.66537E+03   7.24906E-02   1.64457E+03   2.33013E+02
  45.25   4.12476E+02  -4.47214E-01   3.39869E+02  -1.43521E+02
  45.75   1.79881E+03   1.13785E-01   1.78706E+03  -1.56012E+01
  46.26   3.27853E+02  -4.85405E-01   2.59017E+02   1.22766E+02
  46.76   1.32331E+03   1.06343E-01   1.29562E+03  -2.29558E+02
  47.26   7.67336E+02  -1.21105E-02   7.22746E+02   2.57599E+02
  47.77   5.90920E+02  -4.63801E-03   5.38414E+02  -2.43493E+02
  48.27   1.22472E+03   1.21860E-01   1.20343E+03   1.71497E+02
  48.77   1.49917E+02  -6.80502E-01   8.69927E+01  -6.70787E+01
  49.27   1.21879E+03   1.64294E-01   1.20168E+03  -3.63476E+01
  49.78   2.38842E+02  -3.17349E-01   1.87837E+02   1.26561E+02
  50.28   7.97358E+02   1.65538E-01   7.65269E+02  -1.80892E+02
  50.78   6.42829E+02   7.03557E-02   6.14469E+02   1.83337E+02
  51.28   2.74619E+02   5.76044E-02   2.26544E+02  -1.54411E+02
  51.79   9.46228E+02   1.65160E-01   9.30642E+02   6.94861E+01
  52.29   4.66096E+01  -9.88903E-01  -6.61451E-01  -6.89291E+00
  52.79   8.54856E+02   1.97366E-01   8.32404E+02  -9.70341E+01
  53.30   1.99673E+02  -1.36442E-02   1.67830E+02   1.08143E+02
  53.80   4.93769E+02   1.86240E-01   4.53571E+02  -1.72118E+02
  54.30   5.10392E+02   1.95055E-01   4.92292E+02   9.07565E+01
  54.80   1.34037E+02   6.46557E-03   8.44479E+01  -1.04085E+02
  55.31   6.63148E+02   2.47795E-01   6.41319E+02  -3.83822E+01
  55.81   3.39931E+01  -6.70181E-01  -6.48994E+00   2.43806E+01
  56.31   5.16326E+02   2.52035E-01   4.76199E+02  -1.51303E+02
  56.82   1.72945E+02   2.18448E-01   1.47942E+02   8.12144E+01
  57.32   2.44078E+02   1.51539E-01   1.88352E+02  -1.50763E+02
  57.82   3.42457E+02   3.41671E-01   3.20949E+02   2.40381E+01
  58.32   5.65436E+01  -5.66072E-01   4.16557E+00  -4.64255E+01
  58.83   3.53783E+02   3.79495E-01   3.17618E+02  -7.90904E+01
  59.33   7.24895E+01  -3.10551E-01   4.03188E+01   5.58779E+01
  59.83   1.97408E+02   3.39089E-01   1.45064E+02  -1.15955E+02
  60.34   1.87710E+02   2.38046E-01   1.70936E+02   6.33975E+01
  60.84   6.00856E+01  -2.82926E-01   8.95523E+00  -5.69306E+01
  61.34   2.34883E+02   4.08689E-01   2.14342E+02  -3.58293E+00
  61.84   6.09446E+01  -6.90157E-01   3.02738E+01   3.20716E+01
  62.35   1.59938E+02   5.22488E-01   1.23933E+02  -5.68992E+01
  62.85   1.86242E+02   3.79000E-02   1.76524E+02   5.89510E+01
  63.35   4.16246E+01   5.76367E-01   1.48617E+00  -3.39828E+01
  63.85   2.83505E+02   2.67955E-01   2.73137E+02   6.35269E-01
  64.36   3.01181E+01  -3.75161E-01   5.44358E+00   2.73824E+01
  64.86   2.43860E+02   3.98849E-01   2.13174E+02  -6.75603E+01
  65.36   1.44105E+02   1.34276E-01   1.36470E+02   4.20451E+01
  65.87   1.21154E+02   5.32063E-01   7.39192E+01  -7.11260E+01
  66.37   2.86072E+02   3.05949E-01   2.71273E+02  -2.42371E+01
  66.87   2.93919E+01   8.29901E-01  -1.17139E+01  -1.14753E+01
  67.37   3.21748E+02   3.85110E-01   2.72473E+02  -1.18012E+02
  67.88   5.68276E+01   5.30073E-01   3.45973E+01   3.35414E+01
  68.38   2.13965E+02   4.04878E-01   1.33089E+02  -1.43400E+02
  68.88   1.56492E+02   5.08423E-01   1.34750E+02  -1.23986E+00
  69.39   7.91506E+01   1.96485E-01   2.43629E+00  -7.75694E+01
  69.89   2.16361E+02   5.20925E-01   1.63794E+02  -8.53255E+01
  70.39   2.52833E+01  -5.84124E-01  -1.72324E+01   1.11435E+01
  70.89   1.80031E+02   4.40457E-01   9.25268E+01  -1.32523E+02
  71.40   7.08804E+01   3.15723E-01   5.52702E+01   3.83202E+01
  71.90   8.68901E+01  -6.46180E-02   2.22177E+00  -8.66801E+01
  72.40   1.32142E+02   5.94234E-01   1.05405E+02  -1.36143E+01
  72.91   6.21532E+01  -9.21987E-01   2.40669E+01  -8.47759E-02
  73.41   1.10114E+02   6.42996E-01   5.47019E+01  -6.41853E+01
  73.91   1.48280E+02  -6.76708E-02   1.46547E+02   2.02503E+01
  74.41   4.55599E+01  -5.94207E-02  -7.26904E+00  -4.48948E+01
  74.92   2.38781E+02   3.31133E-01   2.19787E+02  -4.95778E+01
  75.42   6.36673E+01  -6.44697E-01   4.80178E+01   7.93900E+00
  75.92   2.16929E+02   4.34896E-01   1.53620E+02  -1.20660E+02
  76.42   2.29574E+02   1.55321E-01   2.26130E+02  -1.72533E+01
  76.93   8.82323E+01   9.80949E-02   2.33039E+01  -8.46579E+01
  77.43   4.17260E+02   3.65989E-01   3.53617E+02  -1.60435E+02
  77.93   5.49415E+01  -6.70503E-01   3.73877E+01   1.62376E+01
  78.44   3.97674E+02   3.12580E-01   2.64382E+02  -2.69806E+02
  78.94   2.43696E+02   3.27395E-01   2.30238E+02  -3.53932E+00
  79.44   2.24814E+02  -1.90321E-01   1.17474E+02  -1.86843E+02
  79.94   4.48766E+02   4.50778E-01   3.54781E+02  -1.86009E+02
  80.45   1.94487E+02  -4.40886E-01   1.73750E+02  -1.68417E+01
  80.95   4.48167E+02   2.36207E-01   2.99578E+02  -3.16071E+02
  81.45   3.92805E+02   2.42521E-01   3.80521E+02  -2.05891E+01
  81.96   3.62474E+02  -2.39580E-01   2.78871E+02  -2.14655E+02
  82.46   5.46776E+02   3.89830E-01   4.53924E+02  -2.17909E+02
  82.96   5.28035E+02  -3.72516E-02   5.21900E+02  -7.78083E+01
  83.46   4.49346E+02   9.25502E-02   3.48270E+02  -2.80874E+02
  83.97   8.59778E+02   2.92655E-01   7.93752E+02  -2.14160E+02
  84.47   4.94176E+02  -1.09765E-01   4.77946E+02  -1.13295E+02
  84.97   8.32128E+02   2.54360E-01   6.91516E+02  -4.11633E+02
  85.47   9.71175E+02   2.72451E-01   9.25019E+02  -1.32321E+02
