 radius= 1.0000E+01 lambda= 5.3200E-01 x= 1.1810E+02

Qext= 2.0959E+00 Qsca= 2.0959E+00 Qabs= 0.0000E+00 <cos>= 8.2795E-01
                 Qbk = 5.1624E-03
  theta       S11           POL           S33           S34
   0.00   5.34551E+07  -0.00000E+00   5.34551E+07   0.00000E+00
   0.50   4.05983E+07   3.35334E-04   4.05981E+07  -1.16099E+05
   1.01   1.63017E+07   8.97299E-04   1.63001E+07  -2.26075E+05
   1.51   2.12325E+06  -4.60933E-03   2.12028E+06  -1.11731E+05
   2.01   1.21214E+05  -6.68958E-02   1.19518E+05   1.85070E+04
   2.51   6.06131E+05   1.31522E-02   6.06029E+05   7.72379E+03
   3.02   9.50288E+04   1.72508E-02   9.43579E+04  -1.11521E+04
   3.52   1.33260E+05  -9.75781E-03   1.32216E+05   1.65957E+04
   4.02   4.15836E+05   1.95433E-02   4.15571E+05   1.24164E+04
   4.53   2.01886E+05   2.22716E-02   2.01660E+05  -8.44220E+03
   5.03   6.06402E+03  -1.58266E-01   5.45645E+03  -2.46545E+03
   5.53   1.91574E+04   1.49474E-01   1.88341E+04   2.02061E+03
   6.03   2.15483E+04  -2.35746E-02   2.14196E+04  -2.29654E+03
   6.54   6.90977E+04  -7.44055E-02   6.87598E+04   4.48940E+03
   7.04   1.16331E+05   7.72544E-04   1.16024E+05   8.45397E+03
   7.54   5.43568E+04   5.05804E-02   5.42483E+04   2.05492E+03
   8.04   1.24248E+04   1.39633E-01   1.22875E+04   6.18792E+02
   8.55   5.04102E+04   8.96397E-02   5.01862E+04   1.45449E+03
   9.05   6.65471E+04   5.35285E-02   6.64242E+04  -1.91240E+03
   9.55   4.24193E+04  -3.71390E-02   4.23578E+04  -1.65284E+03
  10.06   1.51142E+04  -1.47604E-01   1.49216E+04   8.99013E+02
  10.56   5.08679E+03  -2.56436E-01   4.89865E+03  -4.20828E+02
  11.06   3.53381E+04  -4.34642E-02   3.53043E+04  -1.56077E+02
  11.56   6.87449E+04   5.88157E-03   6.86570E+04   3.45158E+03
  12.07   4.94719E+04   2.88403E-02   4.93049E+04   3.80375E+03
  12.57   1.46432E+04  -6.60640E-03   1.46045E+04   1.05887E+03
  13.07   2.02475E+04   4.32413E-02   2.02200E+04  -5.86537E+02
  13.58   4.41799E+04   7.32783E-02   4.40500E+04  -9.89036E+02
  14.08   4.32923E+04   4.73706E-02   4.32428E+04  -2.69971E+02
  14.58   1.97627E+04  -4.06279E-02   1.97375E+04   5.89914E+02
  15.08   9.21748E+03  -1.51321E-01   9.04220E+03  -1.12026E+03
  15.59   2.90551E+04  -3.49377E-03   2.89223E+04  -2.77254E+03
  16.09   4.61995E+04   1.24621E-02   4.61958E+04  -8.37920E+01
  16.59   3.04472E+04  -2.52746E-02   3.03173E+04   2.70157E+03
  17.09   1.19368E+04  -1.87087E-01   1.17118E+04   5.77532E+02
  17.60   2.40936E+04  -3.21567E-02   2.40141E+04  -1.79579E+03
  18.10   4.09416E+04   4.31977E-02   4.09019E+04   3.43686E+02
  18.60   3.00519E+04   3.37955E-02   2.98988E+04   2.85427E+03
  19.11   1.13824E+04  -1.25696E-01   1.12289E+04   1.19304E+03
  19.61   1.68177E+04  -3.08097E-02   1.67204E+04  -1.73012E+03
  20.11   3.34214E+04   6.88099E-02   3.33284E+04  -9.56853E+02
  20.61   2.90572E+04   5.15006E-02   2.89513E+04   1.97532E+03
  21.12   1.22270E+04  -1.30105E-01   1.20613E+04   1.22219E+03
  21.62   1.61712E+04  -5.93869E-02   1.59835E+04  -2.26135E+03
  22.12   3.32182E+04   6.22213E-02   3.31182E+04  -1.53753E+03
  22.63   2.92424E+04   3.81215E-02   2.91429E+04   2.13605E+03
  23.13   1.31446E+04  -1.59377E-01   1.29294E+04   1.10574E+03
  23.63   1.75589E+04  -5.17902E-02   1.73429E+04  -2.59050E+03
  24.13   3.08220E+04   7.13677E-02   3.07170E+04  -1.27300E+03
  24.64   2.33772E+04   2.74918E-02   2.32670E+04   2.17380E+03
  25.14   9.68069E+03  -2.30384E-01   9.41136E+03   4.09824E+02
  25.64   1.59872E+04  -2.65585E-02   1.56973E+04  -3.00104E+03
  26.15   2.63802E+04   7.08129E-02   2.62940E+04  -1.02549E+03
  26.65   1.82830E+04  -2.52228E-02   1.81561E+04   2.10043E+03
  27.15   8.87190E+03  -2.97118E-01   8.46399E+03  -3.50861E+02
  27.65   1.70907E+04  -2.56315E-02   1.68153E+04  -3.02419E+03
  28.16   2.38415E+04   4.33114E-02   2.38179E+04   2.41498E+02
  28.66   1.38445E+04  -1.12629E-01   1.35238E+04   2.51924E+03
  29.16   8.69299E+03  -3.08303E-01   8.19494E+03  -1.10826E+03
  29.66   1.93491E+04   4.96163E-03   1.92239E+04  -2.19501E+03
  30.17   2.19948E+04   2.85027E-02   2.18935E+04   2.01258E+03
  30.67   1.10658E+04  -2.05709E-01   1.06119E+04   2.15828E+03
  31.17   1.09207E+04  -1.77316E-01   1.06006E+04  -1.77191E+03
  31.68   2.02697E+04   5.10623E-02   2.02340E+04  -6.10204E+02
  32.18   1.62887E+04  -4.96208E-03   1.60500E+04   2.77702E+03
  32.68   7.69655E+03  -3.22545E-01   7.27283E+03   4.24363E+02
  33.18   1.38560E+04  -2.36069E-02   1.36628E+04  -2.28269E+03
  33.69   1.97438E+04   7.32733E-02   1.96770E+04   7.34846E+02
  34.19   1.12638E+04  -1.08907E-01   1.09552E+04   2.31360E+03
  34.69   7.28629E+03  -2.77321E-01   6.89509E+03  -1.21030E+03
  35.20   1.50679E+04   4.42051E-02   1.49568E+04  -1.70126E+03
  35.70   1.47933E+04   1.45843E-02   1.46956E+04   1.68319E+03
  36.20   7.02451E+03  -3.27089E-01   6.59870E+03   7.22320E+02
  36.70   9.99681E+03  -9.94822E-02   9.67154E+03  -2.32560E+03
  37.21   1.56845E+04   4.94603E-02   1.56647E+04  -1.38320E+02
  37.71   9.66773E+03  -1.31650E-01   9.35764E+03   2.06874E+03
  38.21   5.71575E+03  -3.91844E-01   5.16258E+03  -1.00067E+03
  38.72   1.25090E+04   2.67351E-03   1.23602E+04  -1.92350E+03
  39.22   1.32708E+04  -2.69554E-03   1.31822E+04   1.53026E+03
  39.72   6.25635E+03  -3.64090E-01   5.72828E+03   1.06773E+03
  40.22   7.83942E+03  -1.73894E-01   7.47191E+03  -1.94133E+03
  40.73   1.26775E+04   2.51596E-02   1.26733E+04  -6.64668E+01
  41.23   8.15953E+03  -1.65805E-01   7.81464E+03   1.91807E+03
  41.73   5.51567E+03  -3.93232E-01   4.98297E+03  -9.42515E+02
  42.23   1.11604E+04  -2.41769E-04   1.10594E+04  -1.49776E+03
  42.74   1.06561E+04  -8.04796E-03   1.05220E+04   1.68354E+03
  43.24   4.73725E+03  -4.43056E-01   4.17934E+03   7.54565E+02
  43.74   7.38311E+03  -1.30662E-01   7.04921E+03  -1.97189E+03
  44.25   1.14138E+04   4.87888E-02   1.13993E+04   1.49083E+02
  44.75   6.82137E+03  -1.81625E-01   6.47671E+03   1.74596E+03
  45.25   4.88136E+03  -3.70501E-01   4.42062E+03  -1.00744E+03
  45.75   9.26670E+03   2.35403E-02   9.19429E+03  -1.13538E+03
  46.26   7.99245E+03  -3.48735E-02   7.85235E+03   1.46362E+03
  46.76   4.27085E+03  -4.51408E-01   3.81011E+03   8.03864E+01
  47.26   7.45403E+03  -5.59753E-02   7.23737E+03  -1.73465E+03
  47.77   8.95989E+03   5.93640E-02   8.91830E+03   6.78658E+02
  48.27   4.44917E+03  -3.14478E-01   4.04431E+03   1.21695E+03
  48.77   4.85840E+03  -2.55333E-01   4.45088E+03  -1.50161E+03
  49.27   8.73929E+03   7.89978E-02   8.68954E+03  -6.24876E+02
  49.78   6.19112E+03  -6.47292E-02   5.94995E+03   1.66356E+03
  50.28   3.36219E+03  -5.17032E-01   2.86650E+03  -2.56109E+02
  50.78   6.37158E+03  -1.20486E-02   6.21326E+03  -1.40943E+03
  51.28   6.79858E+03   3.66699E-02   6.72046E+03   9.96983E+02
  51.79   3.59463E+03  -4.33775E-01   3.14657E+03   7.67549E+02
  52.29   4.61834E+03  -1.99768E-01   4.31483E+03  -1.36388E+03
  52.79   6.33182E+03   6.25152E-02   6.31856E+03   1.04928E+02
  53.30   3.81092E+03  -2.69148E-01   3.44298E+03   1.27161E+03
  53.80   3.39310E+03  -4.35473E-01   2.88880E+03  -9.92303E+02
  54.30   5.91989E+03   4.56577E-02   5.84559E+03  -8.95078E+02
  54.80   4.60202E+03  -5.15259E-02   4.38576E+03   1.37384E+03
  55.31   2.41654E+03  -6.89080E-01   1.75092E+03  -3.30518E+01
  55.81   4.50650E+03  -6.08657E-02   4.18416E+03  -1.65111E+03
  56.31   5.38892E+03   8.00193E-02   5.33912E+03   5.90177E+02
  56.82   2.77705E+03  -4.75963E-01   2.22269E+03   1.01221E+03
  57.32   2.84279E+03  -3.54174E-01   2.27098E+03  -1.38217E+03
  57.82   4.81573E+03   1.10996E-01   4.75944E+03  -5.03175E+02
  58.32   3.54563E+03  -1.89562E-01   3.24549E+03   1.25959E+03
  58.83   2.23144E+03  -6.43716E-01   1.60775E+03  -5.75476E+02
  59.33   3.78436E+03   5.40886E-02   3.61686E+03  -1.09443E+03
  59.83   3.75128E+03  -2.01682E-02   3.60937E+03   1.01921E+03
  60.34   2.07224E+03  -7.08095E-01   1.45401E+03   1.64152E+02
  60.84   3.03737E+03  -7.71460E-02   2.71468E+03  -1.34210E+03
  61.34   3.93612E+03   1.03451E-01   3.86893E+03   5.98833E+02
  61.84   2.08777E+03  -5.57962E-01   1.46079E+03   9.31600E+02
  62.35   2.13352E+03  -3.42061E-01   1.55227E+03  -1.26877E+03
  62.85   4.00219E+03   1.56315E-01   3.94787E+03  -2.01234E+02
  63.35   2.68639E+03  -2.02970E-01   2.19133E+03   1.45515E+03
  63.85   1.32404E+03  -8.18821E-01   4.87309E+02  -5.83291E+02
  64.36   3.32767E+03   1.14551E-01   3.12515E+03  -1.07775E+03
  64.86   3.39015E+03   2.35865E-02   3.18273E+03   1.16488E+03
  65.36   1.20667E+03  -8.88962E-01   4.02374E+02   3.78809E+02
  65.87   2.20850E+03  -7.52405E-02   1.76191E+03  -1.32119E+03
  66.37   3.41458E+03   1.09771E-01   3.38271E+03   2.75924E+02
  66.87   1.56167E+03  -4.65300E-01   1.05665E+03   8.91228E+02
  67.37   1.40792E+03  -4.79776E-01   8.62431E+02  -8.84403E+02
  67.88   2.82682E+03   8.46767E-02   2.78149E+03  -4.43782E+02
  68.38   1.77501E+03  -1.60349E-01   1.53548E+03   8.43789E+02
  68.88   1.10490E+03  -8.07689E-01   5.84015E+02  -2.88654E+02
  69.39   2.21768E+03  -6.80530E-02   2.08432E+03  -7.42255E+02
  69.89   1.71721E+03   5.04966E-03   1.62841E+03   5.44998E+02
  70.39   9.81692E+02  -8.51121E-01   4.86592E+02   1.69771E+02
  70.89   1.79161E+03  -3.11023E-01   1.49755E+03  -8.10376E+02
  71.40   1.61019E+03   7.93777E-02   1.60097E+03   1.15211E+02
  71.90   9.14365E+02  -6.46653E-01   4.99516E+02   4.86764E+02
  72.40   1.41939E+03  -6.06057E-01   9.10371E+02  -6.67753E+02
  72.91   1.49608E+03   7.41295E-02   1.43701E+03  -4.01202E+02
  73.41   9.96766E+02  -1.92135E-01   7.49744E+02   6.28290E+02
  73.91   1.09314E+03  -8.94907E-01   4.59610E+02  -1.63473E+02
  74.41   1.22392E+03  -6.37693E-02   9.69023E+02  -7.43568E+02
  74.92   1.21925E+03   2.13600E-01   1.09587E+03   4.66702E+02
  75.42   1.04750E+03  -7.36414E-01   4.32478E+02   5.61403E+02
  75.92   7.90464E+02  -4.97155E-01   3.06063E+02  -6.13778E+02
  76.42   1.29451E+03   3.79240E-01   1.19774E+03   1.32629E+01
  76.93   1.36766E+03  -1.74253E-01   8.83400E+02   1.01651E+03
  77.43   5.44378E+02  -9.61847E-01  -1.38171E+02  -5.55901E+01
  77.93   1.08637E+03   3.69805E-01   8.86264E+02  -4.83052E+02
  78.44   1.71328E+03   1.88177E-01   1.46847E+03   8.21566E+02
  78.94   6.25967E+02  -4.96444E-01  -5.97980E+01   5.40082E+02
  79.44   7.81242E+02   2.20808E-01   3.41057E+02  -6.81368E+02
  79.94   1.83311E+03   3.62698E-01   1.70446E+03   1.14347E+02
  80.45   8.64484E+02   1.49217E-01   3.94054E+02   7.58560E+02
  80.95   4.81886E+02  -1.79328E-01  -1.02686E+02  -4.62820E+02
  81.45   1.60879E+03   3.57674E-01   1.38720E+03  -5.76878E+02
  81.96   1.06991E+03   5.18770E-01   7.65223E+02   5.01071E+02
  82.46   3.38250E+02  -5.74739E-01  -2.74790E+02  -3.33212E+01
  82.96   1.10650E+03   5.89202E-02   7.25035E+02  -8.33318E+02
  83.46   9.76657E+02   6.21899E-01   7.64732E+02  -1.14403E+01
  83.97   3.67627E+02  -2.37968E-01  -1.71388E+02   3.13245E+02
  84.47   7.05005E+02  -5.99096E-01   1.44911E+02  -5.45564E+02
  84.97   6.67209E+02   4.73427E-01   4.24667E+02  -4.06263E+02
  85.47   4.27586E+02   2.87226E-01   8.79947E+01   4.00005E+02
  85.98   5.66061E+02  -9.87983E-01   1.99475E+01   8.51893E+01
  86.48   3.82806E+02  -1.11263E-01   2.45659E+01  -3.79635E+02
