 Complex refractive index= 1.500E+00 +-1.000E-01*i
 radius= 1.0000E+00 lambda= 6.2832E+00 x= 1.0000E+00

Qext=-6.6988E-02 Qsca= 2.4130E-01 Qabs=-3.0828E-01 <cos>= 1.9036E-01
                 Qbk = 2.1532E-01
  theta       S11         S12=S21       S33=S44      S34=-S43       P
   0.00   1.35624E-01   0.00000E+00   1.35624E-01   0.00000E+00 -0.00000
   0.50   1.35617E-01  -4.70877E-06   1.35617E-01  -1.85333E-07  0.00003
   1.01   1.35596E-01  -1.88351E-05   1.35596E-01  -7.41798E-07  0.00014
   1.51   1.35561E-01  -4.23715E-05   1.35561E-01  -1.66846E-06  0.00031
   2.01   1.35513E-01  -7.53254E-05   1.35513E-01  -2.96626E-06  0.00056
   2.51   1.35450E-01  -1.17637E-04   1.35450E-01  -4.63286E-06  0.00087
   3.02   1.35374E-01  -1.69344E-04   1.35374E-01  -6.66874E-06  0.00125
   3.52   1.35284E-01  -2.30372E-04   1.35284E-01  -9.07388E-06  0.00170
   4.02   1.35180E-01  -3.00743E-04   1.35180E-01  -1.18450E-05  0.00222
   4.53   1.35062E-01  -3.80352E-04   1.35062E-01  -1.49827E-05  0.00282
   5.03   1.34931E-01  -4.69252E-04   1.34930E-01  -1.84868E-05  0.00348
   5.53   1.34786E-01  -5.67317E-04   1.34785E-01  -2.23522E-05  0.00421
   6.03   1.34627E-01  -6.74553E-04   1.34625E-01  -2.65804E-05  0.00501
   6.54   1.34455E-01  -7.90909E-04   1.34453E-01  -3.11695E-05  0.00588
   7.04   1.34269E-01  -9.16302E-04   1.34266E-01  -3.61172E-05  0.00682
   7.54   1.34070E-01  -1.05069E-03   1.34066E-01  -4.14201E-05  0.00784
   8.04   1.33858E-01  -1.19402E-03   1.33852E-01  -4.70784E-05  0.00892
   8.55   1.33632E-01  -1.34622E-03   1.33625E-01  -5.30886E-05  0.01007
   9.05   1.33393E-01  -1.50720E-03   1.33385E-01  -5.94486E-05  0.01130
   9.55   1.33141E-01  -1.67692E-03   1.33131E-01  -6.61560E-05  0.01260
  10.06   1.32876E-01  -1.85528E-03   1.32863E-01  -7.32075E-05  0.01396
  10.56   1.32599E-01  -2.04220E-03   1.32583E-01  -8.06018E-05  0.01540
  11.06   1.32308E-01  -2.23759E-03   1.32289E-01  -8.83341E-05  0.01691
  11.56   1.32005E-01  -2.44137E-03   1.31982E-01  -9.64021E-05  0.01849
  12.07   1.31689E-01  -2.65345E-03   1.31662E-01  -1.04803E-04  0.02015
  12.57   1.31360E-01  -2.87370E-03   1.31329E-01  -1.13534E-04  0.02188
  13.07   1.31019E-01  -3.10208E-03   1.30983E-01  -1.22589E-04  0.02368
  13.58   1.30666E-01  -3.33842E-03   1.30624E-01  -1.31967E-04  0.02555
  14.08   1.30301E-01  -3.58266E-03   1.30252E-01  -1.41664E-04  0.02750
  14.58   1.29924E-01  -3.83465E-03   1.29868E-01  -1.51675E-04  0.02951
  15.08   1.29535E-01  -4.09430E-03   1.29470E-01  -1.61997E-04  0.03161
  15.59   1.29135E-01  -4.36148E-03   1.29061E-01  -1.72625E-04  0.03377
  16.09   1.28722E-01  -4.63608E-03   1.28639E-01  -1.83555E-04  0.03602
  16.59   1.28299E-01  -4.91796E-03   1.28204E-01  -1.94785E-04  0.03833
  17.09   1.27864E-01  -5.20699E-03   1.27758E-01  -2.06307E-04  0.04072
  17.60   1.27418E-01  -5.50309E-03   1.27299E-01  -2.18119E-04  0.04319
  18.10   1.26961E-01  -5.80605E-03   1.26828E-01  -2.30215E-04  0.04573
  18.60   1.26493E-01  -6.11577E-03   1.26345E-01  -2.42592E-04  0.04835
  19.11   1.26015E-01  -6.43212E-03   1.25850E-01  -2.55243E-04  0.05104
  19.61   1.25526E-01  -6.75492E-03   1.25344E-01  -2.68163E-04  0.05381
  20.11   1.25027E-01  -7.08406E-03   1.24826E-01  -2.81349E-04  0.05666
  20.61   1.24518E-01  -7.41939E-03   1.24296E-01  -2.94795E-04  0.05958
  21.12   1.23999E-01  -7.76074E-03   1.23755E-01  -3.08495E-04  0.06259
  21.62   1.23470E-01  -8.10798E-03   1.23203E-01  -3.22444E-04  0.06567
  22.12   1.22931E-01  -8.46092E-03   1.22639E-01  -3.36638E-04  0.06883
