 radius= 1.0000E+00 lambda= 5.3200E-01 x= 1.1810E+01

Qext= 2.8352E+00 Qsca= 2.8352E+00 Qabs= 0.0000E+00 <cos>= 8.1030E-01
                 Qbk = 1.7245E-02
  theta       S11           POL           S33           S34
   0.00   9.92273E+03  -0.00000E+00   9.92273E+03   0.00000E+00
   0.50   9.89647E+03   7.19362E-05   9.89647E+03  -7.94800E-01
   1.01   9.81804E+03   2.87507E-04   9.81804E+03  -3.15222E+00
   1.51   9.68852E+03   6.45849E-04   9.68852E+03  -6.99329E+00
   2.01   9.50968E+03   1.14547E-03   9.50967E+03  -1.21893E+01
   2.51   9.28395E+03   1.78462E-03   9.28391E+03  -1.85665E+01
   3.02   9.01435E+03   2.56091E-03   9.01428E+03  -2.59106E+01
   3.52   8.70446E+03   3.47080E-03   8.70434E+03  -3.39785E+01
   4.02   8.35836E+03   4.51129E-03   8.35817E+03  -4.25006E+01
   4.53   7.98050E+03   5.67692E-03   7.98021E+03  -5.11966E+01
   5.03   7.57566E+03   6.96325E-03   7.57524E+03  -5.97798E+01
   5.53   7.14884E+03   8.36384E-03   7.14827E+03  -6.79693E+01
   6.03   6.70517E+03   9.87209E-03   6.70442E+03  -7.55004E+01
   6.54   6.24985E+03   1.14802E-02   6.24890E+03  -8.21313E+01
   7.04   5.78800E+03   1.31787E-02   5.78683E+03  -8.76538E+01
   7.54   5.32462E+03   1.49579E-02   5.32323E+03  -9.18968E+01
   8.04   4.86450E+03   1.68056E-02   4.86289E+03  -9.47342E+01
   8.55   4.41214E+03   1.87081E-02   4.41032E+03  -9.60886E+01
   9.05   3.97170E+03   2.06498E-02   3.96970E+03  -9.59322E+01
   9.55   3.54694E+03   2.26123E-02   3.54478E+03  -9.42881E+01
  10.06   3.14117E+03   2.45736E-02   3.13889E+03  -9.12276E+01
  10.56   2.75722E+03   2.65069E-02   2.75488E+03  -8.68694E+01
  11.06   2.39742E+03   2.83806E-02   2.39508E+03  -8.13720E+01
  11.56   2.06362E+03   3.01531E-02   2.06132E+03  -7.49309E+01
  12.07   1.75714E+03   3.17732E-02   1.75494E+03  -6.77680E+01
  12.57   1.47881E+03   3.31719E-02   1.47677E+03  -6.01268E+01
  13.07   1.22899E+03   3.42583E-02   1.22716E+03  -5.22611E+01
  13.58   1.00761E+03   3.49048E-02   1.00601E+03  -4.44283E+01
  14.08   8.14160E+02   3.49348E-02   8.12827E+02  -3.68792E+01
  14.58   6.47794E+02   3.40941E-02   6.46729E+02  -2.98497E+01
  15.08   5.07325E+02   3.20173E-02   5.06517E+02  -2.35539E+01
  15.59   3.91297E+02   2.81884E-02   3.90719E+02  -1.81757E+01
  16.09   2.98028E+02   2.19179E-02   2.97633E+02  -1.38646E+01
  16.59   2.25660E+02   1.24230E-02   2.25387E+02  -1.07295E+01
  17.09   1.72207E+02  -7.74384E-04   1.71980E+02  -8.83691E+00
  17.60   1.35604E+02  -1.68498E-02   1.35336E+02  -8.20896E+00
  18.10   1.13749E+02  -3.24020E-02   1.13346E+02  -8.82301E+00
  18.60   1.04542E+02  -4.20303E-02   1.03909E+02  -1.06138E+01
  19.11   1.05924E+02  -4.23644E-02   1.04968E+02  -1.34755E+01
  19.61   1.15907E+02  -3.50176E-02   1.14542E+02  -1.72668E+01
